budget,popularity,revenue,runtime,title,vote average
150000000,73.616808,385680446,127,Star Trek,7.4
139000000,82.502566,821708551,121,Spider-Man,6.8
145000000,100.21391,609123048,102,How to Train Your Dragon 2,7.6
140000000,56.257249,150680864,127,Gods of Egypt,5.3
135000000,17.88953,76932943,121,Stealth,4.9
130000000,64.798873,185258983,163,Watchmen,7
140000000,24.855701,285444603,127,Lethal Weapon 4,6.3
137000000,34.981698,245360480,138,Hulk,5.3
130000000,59.325589,371876278,110,G.I. Joe: Retaliation,5.4
130000000,21.605568,119269486,124,Sahara,5.7
137000000,26.074908,85131830,106,Final Fantasy: The Spirits Within,5.9
140000000,74.506246,370569774,124,Captain America: The First Avenger,6.6
135000000,39.604363,361832400,128,The World Is Not Enough,6
150000000,36.973031,212011111,138,Master and Commander: The Far Side of the World,6.9
120000000,99.687084,829000000,115,The Twilight Saga: Breaking Dawn - Part 2,6.1
130000000,17.7735,150406466,100,Happy Feet Two,5.8
150000000,62.898336,163712074,114,The Incredible Hulk,6.1
140000000,44.19092,183345589,120,The BFG,6
135000000,100.635882,532950503,156,The Revenant,7.3
135000000,44.765377,282570682,96,Turbo,6.1
135000000,29.91353,245724603,107,Rango,6.6
132000000,84.366984,373552094,92,Penguins of Madagascar,6.5
70000000,45.381501,442824138,115,The Bourne Ultimatum,7.3
130000000,84.689648,631744560,90,Kung Fu Panda,6.9
130000000,120.09361,519311965,117,Ant-Man,7
130000000,76.310119,847423452,146,The Hunger Games: Catching Fire,7.4
135000000,63.473086,368871007,94,Home,6.8
132000000,48.572726,591739379,116,War of the Worlds,6.2
130000000,38.068736,273339556,147,Bad Boys II,6.3
130000000,20.678787,554987477,90,Puss in Boots,6.4
110000000,48.829437,293329073,100,Salt,6.2
125000000,46.115758,362637473,139,Noah,5.6
130000000,89.938296,371940071,107,The Adventures of Tintin,6.7
130000000,79.679601,789804554,141,Harry Potter and the Prisoner of Azkaban,7.7
130000000,28.840997,49554002,165,Australia,6.3
130000000,42.840582,243843127,100,After Earth,5
127500000,26.548594,354248063,82,Dinosaur,6.2
127000000,115.597753,349424282,97,Night at the Museum: Secret of the Tomb,6.1
130000000,68.757242,321887208,95,Megamind,6.7
125000000,109.984351,976475550,152,Harry Potter and the Philosopher's Stone,7.5
130000000,39.448066,61648500,96,R.I.P.D.,5.4
140000000,271.972889,655011224,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5
125000000,206.227151,752100229,123,The Hunger Games: Mockingjay - Part 1,6.6
125000000,45.313197,767820459,149,The Da Vinci Code,6.5
103000000,42.40024,500188435,102,Rio 2,6.3
110000000,2.871739,407711549,133,X2,6.8
125000000,7.255718,626137675,130,Fast Five,7.1
125000000,81.499621,334615000,129,Sherlock Holmes: A Game of Shadows,7
125000000,47.686442,232713139,106,Clash of the Titans,5.6
65000000,43.129703,261317921,113,Total Recall,7.1
160000000,27.220157,61698899,102,The 13th Warrior,6.4
130000000,90.33681,276572938,120,The Bourne Legacy,6
125000000,50.073575,238207122,125,Batman & Robin,4.2
123000000,45.419668,345141403,104,How the Grinch Stole Christmas,6.2
125000000,41.380094,544272402,124,The Day After Tomorrow,6.2
125000000,54.931334,546388105,123,Mission: Impossible II,5.9
120000000,25.752118,325756637,130,The Perfect Storm,6.2
130000000,60.810723,289047763,92,Fantastic 4: Rise of the Silver Surfer,5.4
120000000,51.328145,609016565,127,Life of Pi,7.2
110000000,46.834704,228738393,114,Ghost Rider,5.2
120000000,62.641286,415484914,123,Jason Bourne,5.9
120000000,33.616115,259175788,106,Charlie's Angels: Full Throttle,5.2
130000000,68.889395,403170142,124,Prometheus,6.3
120000000,27.990284,169956806,78,Stuart Little 2,5.4
115000000,67.33767,286140700,109,Elysium,6.4
105000000,27.835436,115772733,119,The Chronicles of Riddick,6.3
120000000,66.757869,242688965,102,RoboCop,5.7
120000000,17.060695,93945766,135,Speed Racer,5.7
120000000,11.137655,48668907,121,How Do You Know,4.9
117000000,44.906918,261930431,109,Knight and Day,5.9
120000000,67.698004,286168572,124,Oblivion,6.4
113000000,44.108427,850000000,140,Star Wars: Episode III - Revenge of the Sith,7.1
120000000,43.987061,649398328,142,Star Wars: Episode II - Attack of the Clones,6.4
115000000,106.815545,562816256,92,"Monsters, Inc.",7.5
120000000,15.953444,415440673,126,The Wolverine,6.3
115000000,54.035265,924317558,136,Star Wars: Episode I - The Phantom Menace,6.3
135000000,64.183321,585178928,98,The Croods,6.8
97250400,20.344364,132900000,116,Asterix at the Olympic Games,5
115000000,18.714197,77628265,134,Windtalkers,5.8
115000000,60.467984,164602163,114,The Huntsman: Winter's War,6
125000000,143.350376,477200000,101,Teenage Mutant Ninja Turtles,5.8
105000000,110.153618,716392705,91,Gravity,7.3
116000000,16.90444,178127760,108,Dante's Peak,5.7
135000000,39.873791,245623848,112,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8
120000000,38.126095,167977596,100,Fantastic Four,4.4
110000000,48.780039,574480841,108,Night at the Museum,6.3
110000000,100.412364,470490832,114,San Andreas,6
110000000,42.887121,333011068,119,Tomorrow Never Dies,6
110000000,23.657284,215294342,165,The Patriot,6.8
110000000,76.840712,362744280,125,Ocean's Twelve,6.4
110000000,44.635452,478207520,120,Mr. & Mrs. Smith,6.5
110000000,103.718387,295238201,119,Insurgent,6.2
116000000,45.616098,102000000,170,The Aviator,7
112000000,22.845143,237382724,85,Gulliver's Travels,4.9
120000000,31.703608,227817248,119,The Green Hornet,5.5
110000000,71.510596,337580051,102,300: Rise of an Empire,6.1
110000000,36.65422,563749323,103,The Smurfs,5.5
110000000,19.625972,103951461,76,Home on the Range,5.7
110000000,86.105615,179246868,121,Allegiant,5.9
110000000,37.195046,299268508,127,Real Steel,6.6
105000000,32.473628,347434178,105,The Smurfs 2,5.5
160000000,23.336875,164508066,121,Speed 2: Cruise Control,4.1
110000000,45.94834,125537191,114,Ender's Game,6.6
110000000,48.93337,383531464,128,Live Free or Die Hard,6.4
93000000,138.049577,871368364,178,The Lord of the Rings: The Fellowship of the Ring,8
110000000,22.643776,72178895,120,Around the World in 80 Days,5.7
107000000,18.866672,87713825,157,Ali,6.7
0,18.251129,0,82,The Cat in the Hat,4.9
120000000,95.914473,347234916,115,"I, Robot",6.7
130000000,44.490453,211643158,144,Kingdom of Heaven,6.6
133000000,30.475297,300135367,84,Stuart Little,5.8
105000000,62.479574,267045765,97,The Princess and the Frog,6.7
108000000,167.93287,630161890,141,The Martian,7.6
126000000,37.68056,162949164,136,The Island,6.5
90000000,1.004579,10372291,104,Town & Country,3.7
90000000,52.995628,237202299,118,Gone in Sixty Seconds,6.1
103000000,95.301296,457640427,155,Gladiator,7.9
102000000,65.948959,358372926,145,Minority Report,7.1
100000000,132.397737,876688482,161,Harry Potter and the Chamber of Secrets,7.4
150000000,88.935165,599045960,144,Casino Royale,7.3
100000000,51.188633,362211740,119,Planet of the Apes,5.6
100000000,101.74155,520000000,137,Terminator 2: Judgment Day,7.7
80000000,33.691694,214104620,140,Public Enemies,6.5
100000000,42.361215,266465037,157,American Gangster,7.4
115000000,38.729418,378882411,141,True Lies,6.8
100000000,40.597856,150166126,106,The Taking of Pelham 1 2 3,6.2
100000000,32.389353,310650585,98,Little Fockers,5.4
100000000,24.399642,170432927,107,The Other Guys,6.1
100000000,24.507987,242295562,115,Eraser,5.6
100000000,82.121691,425368238,165,Django Unchained,7.8
100000000,46.727941,100138851,91,The Hunchback of Notre Dame,6.8
100000000,51.113717,169327687,78,The Emperor's New Groove,7.2
100000000,53.732892,312573423,103,The Expendables 2,6.1
100000000,58.849256,347451894,131,National Treasure,6.4
100000000,30.863434,249288105,104,Eragon,4.9
100000000,31.586215,100086793,101,Where the Wild Things Are,6.4
100000000,36.711378,268426634,102,Epic,6.4
100000000,41.426678,278731369,103,The Tourist,6
100000000,20.652943,211989043,121,End of Days,5.5
100000000,52.792678,170877916,143,Blood Diamond,7.3
100000000,95.007934,392000694,180,The Wolf of Wall Street,7.9
100000000,48.205606,336529144,121,Batman Forever,5.2
105000000,58.782359,121214377,129,Starship Troopers,6.7
102000000,73.872343,130482868,172,Cloud Atlas,6.6
80000000,37.321848,140073390,97,Legend of the Guardians: The Owls of Ga'Hoole,6.5
100000000,32.271938,82102379,104,Catwoman,4.2
100000000,76.842247,243400000,99,Hercules,5.6
140000000,38.924136,109578115,95,Treasure Planet,7.2
100000000,19.38841,68688831,102,Land of the Lost,5.3
90000000,61.025639,206172544,127,The Expendables 3,6.1
105000000,33.507289,133718711,114,Point Break,5.5
84000000,17.815595,0,94,Son of the Mask,3.6
100000000,50.767332,93820758,122,In the Heart of the Sea,6.5
100000000,12.092241,7103973,95,The Adventures of Pluto Nash,4.4
100000000,30.254021,94882889,115,Green Zone,6.4
99000000,34.308098,246233113,88,The Peanuts Movie,6.5
10000000,3.091077,13835130,110,The Spanish Prisoner,7.1
98000000,41.862983,433013274,130,The Mummy Returns,6
100000000,46.160048,193772504,167,Gangs of New York,7.1
94000000,12.516546,95311434,145,The Flowers of War,7.1
85000000,23.230851,149044513,85,Surf's Up,5.9
90000000,19.224754,102000000,93,The Stepford Wives,5.4
92000000,44.455166,172989651,144,Black Hawk Down,7.2
0,16.460356,104907746,85,The Campaign,5.6
90000000,109.528572,263920180,126,The Fifth Element,7.3
100000000,18.325897,288347692,146,Sex and the City 2,5.4
95000000,37.054554,76432727,89,The Road to El Dorado,7
95000000,65.229868,877244782,88,Ice Age: Continental Drift,6.2
95000000,101.187052,543514353,105,Cinderella,6.7
65000000,29.257137,93525586,136,The Lovely Bones,6.6
94000000,85.688789,940335536,100,Finding Nemo,7.6
94000000,123.630332,1118888979,201,The Lord of the Rings: The Return of the King,8.1
79000000,106.914973,926287400,179,The Lord of the Rings: The Two Towers,8
95000000,63.628459,114178613,102,Seventh Son,5.2
115000000,41.498631,274703340,100,Lara Croft: Tomb Raider,5.7
100000000,58.991388,103039258,119,Transcendence,5.9
93000000,1.859364,368780809,92,Jurassic Park III,5.7
93000000,138.433168,482860185,105,Rise of the Planet of the Apes,7
90000000,21.436682,162839667,95,The Spiderwick Chronicles,6.3
92000000,65.402595,304654182,98,A Good Day to Die Hard,5.2
145000000,10.660441,25819961,137,The Alamo,5.8
92000000,77.817571,631442092,115,The Incredibles,7.4
98000000,7.029308,10017322,119,Cutthroat Island,5.7
95000000,61.121717,226497209,118,Percy Jackson & the Olympians: The Lightning Thief,6
90000000,104.121555,589390539,98,Men in Black,6.9
90000000,73.575118,497366869,92,Toy Story 2,7.3
100000000,37.698465,167805466,98,Unstoppable,6.3
90000000,35.814765,347325802,90,Rush Hour 2,6.4
100000000,15.835672,155464351,130,What Lies Beneath,6.3
100000000,46.781182,242988466,90,Cloudy with a Chance of Meatballs,6.5
90000000,69.457898,886686817,94,Ice Age: Dawn of the Dinosaurs,6.5
90000000,43.348022,188133322,114,The Secret Life of Walter Mitty,7
92000000,40.20395,264105545,98,Charlie's Angels,5.6
90000000,63.429157,289847354,151,The Departed,7.9
90000000,67.427755,304320254,88,Mulan,7.6
92000000,43.192048,188072649,107,Tropic Thunder,6.5
90000000,47.651083,232617430,158,The Girl with the Dragon Tattoo,7.2
90000000,51.881077,366101666,128,Die Hard: With a Vengeance,6.9
90000000,57.834787,524028679,128,Sherlock Holmes,7
100000000,29.608322,94061311,125,Ben-Hur,5.3
120000000,51.548589,186053725,95,Atlantis: The Lost Empire,6.7
0,27.867368,233755553,92,Alvin and the Chipmunks: The Road Chip,5.8
75000000,38.832842,200276000,121,Valkyrie,6.7
90000000,40.597344,201596308,113,You Don't Mess with the Zohan,5.5
88000000,140.849495,243637091,105,Pixels,5.6
100000000,34.035114,235926552,146,A.I. Artificial Intelligence,6.8
90000000,16.302378,182290266,99,The Haunted Mansion,5.2
90000000,55.249434,171120329,150,Contact,7.2
95000000,28.200874,190213455,112,Hollow Man,5.6
80000000,18.69984,162944923,128,The Interpreter,6.2
90000000,40.262261,174578751,106,Percy Jackson: Sea of Monsters,5.9
95000000,56.811056,156505388,117,Lara Croft Tomb Raider: The Cradle of Life,5.5
90000000,51.535701,334901337,129,Now You See Me 2,6.7
68000000,20.913852,118063304,116,The Saint,5.9
92000000,27.166757,143049560,126,Spy Game,6.8
90000000,16.058284,60874615,114,Mission to Mars,5.7
90000000,46.200042,484635760,96,Rio,6.5
100000000,24.939295,93700000,131,Bicentennial Man,6.9
90000000,19.836124,0,104,Volcano,5.2
90000000,15.350451,140807547,107,The Devil's Own,5.9
100000000,15.625949,35168966,138,K-19: The Widowmaker,6.1
20000000,31.802807,79114085,129,Conan the Barbarian,6.6
88000000,24.100863,108539911,144,Cinderella Man,7.3
90000000,3.593349,16178959,110,The Nutcracker: The Untold Story,5.4
87000000,14.824166,148336445,141,Seabiscuit,6.7
92000000,32.079995,494471524,113,Twister,6.1
90000000,57.739713,429632142,143,Cast Away,7.5
100000000,37.272385,384335608,108,Happy Feet,5.9
75000000,53.213931,288500217,108,The Bourne Supremacy,7.2
85000000,36.38795,315156409,124,Air Force One,6.2
85000000,60.929352,450717150,116,Ocean's Eleven,7.2
75000000,36.605246,132274484,110,The Three Musketeers,5.6
85000000,56.257411,358375603,91,Hotel Transylvania,6.8
85000000,29.21998,340487652,107,Enchanted,6.6
85000000,34.773106,208076205,115,Safe House,6.3
85000000,9.895061,183611771,100,102 Dalmatians,5.1
75000000,36.743324,152930623,104,Tower Heist,5.8
85000000,44.967453,194168700,136,The Holiday,6.7
90000000,41.207568,250649836,132,Enemy of the State,6.7
85000000,16.479851,219103655,121,It's Complicated,6.2
85000000,42.069993,311312624,122,Ocean's Thirteen,6.5
85000000,26.61951,197309027,83,Open Season,6.1
85000000,80.316463,288747895,139,Divergent,6.9
68000000,41.273567,96976270,131,Enemy at the Gates,7.2
85000000,24.107835,80916492,104,The Rundown,6.4
85000000,32.044191,137298489,130,Last Action Hero,6.1
85000000,16.595874,162242962,145,Memoirs of a Geisha,7.3
85000000,8.282876,158468292,104,The Fast and the Furious: Tokyo Drift,6.1
0,19.83683,0,97,Arthur Christmas,6.7
90000000,36.069611,142940100,178,Meet Joe Black,6.9
85000000,18.827753,78382433,108,Collateral Damage,5.5
0,5.159407,37823676,123,All That Jazz,7.3
85000000,48.126297,183018522,106,Mirror Mirror,5.5
60000000,38.885195,47664559,112,Scott Pilgrim vs. the World,7.2
60000000,29.211255,74208267,136,The Core,5.4
84000000,17.783361,123307945,106,Nutty Professor II: The Klumps,4.7
84000000,31.435539,275650703,88,Scooby-Doo,5.4
50000000,57.673932,41037742,95,Dredd,6.6
82500000,41.176631,237681299,107,Click,6
8000000,13.661289,21028755,120,Creepshow,6.7
85000000,11.77398,112483764,82,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9
85000000,21.218,222231186,88,Jumper,5.9
85000000,58.57976,160388063,120,Hellboy II: The Golden Army,6.5
65000000,51.970905,84785914,157,Zodiac,7.3
82000000,18.447479,96085477,123,The 6th Day,5.7
80000000,109.684788,484572835,101,Bruce Almighty,6.4
80000000,77.580661,274470394,103,The Expendables,6
80000000,75.290998,457696359,110,Mission: Impossible,6.7
75000000,68.550698,691210692,142,The Hunger Games,6.9
80000000,58.040149,254455986,102,The Hangover Part II,6.2
80000000,59.113174,280000000,126,Batman Returns,6.6
80000000,36.32705,343397247,83,Over the Hedge,6.3
80000000,55.659988,145771527,85,Lilo & Stitch,7.1
85000000,14.132583,144000000,97,Charlotte's Web,5.8
75000000,34.070054,140464664,120,Deep Impact,5.9
84000000,44.34333,0,116,RED 2,6.4
82000000,26.065735,190320568,113,The Longest Yard,6.2
75000000,23.473004,342695435,87,Alvin and the Chipmunks: Chipwrecked,5.4
80000000,45.589568,246984278,100,Grown Ups 2,5.8
80000000,23.496054,230685453,110,Get Smart,6
80000000,16.939441,266728738,128,Something's Gotta Give,6.3
80000000,81.914696,294804195,138,Shutter Island,7.8
80000000,19.500893,163733697,88,Four Christmases,5.3
75000000,29.558157,260696994,91,Robots,6
80000000,46.075037,245676146,138,Face/Off,6.8
80000000,23.531721,212874442,99,Bedtime Stories,5.9
80000000,49.078546,181001478,117,Road to Perdition,7.3
80000000,37.02665,214918407,117,Just Go with It,6.3
75000000,45.154631,224012234,115,Con Air,6.5
80000000,46.887983,178066569,118,Eagle Eye,6.3
79000000,24.598479,173013509,154,Cold Mountain,6.7
80000000,32.363538,157107755,118,The Book of Eli,6.6
80000000,11.50396,177977226,93,Flubber,5.3
80000000,19.375768,91188905,113,The Haunting,5.2
80000000,36.125715,250200000,88,Space Jam,6.5
0,25.450534,0,93,The Pink Panther,5.6
80000000,41.890722,233093859,104,The Day the Earth Stood Still,5.2
75000000,22.179658,136982834,135,Conspiracy Theory,6.5
68000000,139.575085,211817906,135,Fury,7.4
70000000,18.264635,164000000,98,Six Days Seven Nights,5.6
80000000,11.187696,201584141,80,Yogi Bear,5.2
80000000,41.670544,122563539,83,Spirit: Stallion of the Cimarron,7.4
80000000,27.46264,169852759,102,Zookeeper,5.3
80000000,17.455024,136159423,130,Lost in Space,5
80000000,21.394281,96105964,129,The Manchurian Candidate,6.2
0,0.605645,0,117,Déjà Vu,8
80000000,61.692197,473226958,89,Hotel Transylvania 2,6.7
80000000,14.530946,90874570,74,Fantasia 2000,7
80000000,25.978555,123729176,96,The Time Machine,5.8
90000000,6.643778,0,114,Mighty Joe Young,5.9
102000000,36.788745,147080413,99,Swordfish,6.1
75000000,31.054334,142400065,129,The Legend of Zorro,5.9
85000000,21.891078,71485043,113,What Dreams May Come,6.8
85000000,18.335992,0,90,Little Nicky,5.2
88000000,40.138009,105316267,118,The Brothers Grimm,5.6
70000000,44.090535,101371017,106,Mars Attacks!,6.1
0,3.300061,0,81,Evolution,6.4
0,20.632673,43312294,117,The Edge,6.7
80000000,36.664991,122444772,89,Surrogates,5.9
80000000,18.26121,34566746,145,Thirteen Days,6.9
80000000,16.681269,159212469,115,Daylight,5.8
80000000,10.088006,126546518,87,Walking With Dinosaurs,5.2
44000000,7.89147,21400000,118,Battlefield Earth,3
80000000,16.715631,68514844,90,Looney Tunes: Back in Action,5.6
80000000,9.357734,53825515,112,Nine,5.1
80000000,11.22268,19480739,116,Timeline,5.4
80000000,14.564667,17626234,177,The Postman,6.1
90000000,11.356079,69131860,92,Babe: Pig in the City,5.2
90000000,52.612025,146936910,106,The Last Witch Hunter,5.7
80000000,13.800656,33463969,106,Red Planet,5.4
86000000,27.097932,107944236,94,Arthur and the Invisibles,6
0,10.706613,19406406,84,Oceans,7.3
80000000,7.342892,5989640,110,A Sound of Thunder,4.8
130000000,50.561849,117831631,105,Pompeii,5.2
